Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
13.485836744308472	0	-170.3360043162785	-9.202034307857906	66.02658416591999	-25.9875105859284	-363.226862502555	20.0	0.0	1020	10020	-182.68015507151955	-9.617223726771092
23.15447974205017	1	-169.21103388784306	-9.282211674346932	65.80619798942544	-33.9096406265507	-323.2558533687599	20.0	0.0	1020	20040	-160.98620707029565	-8.751608126182887
31.235090970993042	2	-167.590982082978	-9.101415478773514	70.16275104308718	-33.07793813007395	-430.17707753580675	20.0	0.0	1020	30060	-181.04011423477672	-10.058470005455439
41.275179624557495	3	-165.901552848344	-8.948635062378164	66.64607813998961	-31.88004250381511	-349.2825773733934	20.0	0.0	1020	40080	-131.55325267826672	-6.951390527225184
50.31278991699219	4	-165.05090969207575	-8.721291868193912	67.16998942800632	-30.3324538235456	-408.0535266088534	20.0	0.0	1020	50100	-188.64258958426745	-10.14741027001785
57.74527168273926	5	-162.2356091911684	-8.479464996889451	65.08884436781436	-26.76945139611725	-328.8801296425933	20.0	0.0	1020	60120	-165.881646922066	-8.22643936542373
65.43552899360657	6	-162.2701821646826	-8.645555207926606	63.85786807428133	-33.28975388707847	-337.2439632887502	20.0	0.0	1020	70140	-153.81798353990277	-7.932354812467684
72.7848629951477	7	-153.12143137879286	-8.32491198114374	71.02863262182298	-23.31659147631233	-377.7661169165579	20.0	0.0	1020	80160	-156.72127655604746	-7.79708439977478
81.35408687591553	8	-161.2646005763904	-8.320766078591046	68.834103406806	-27.78643994348284	-331.5989899781193	20.0	0.0	1020	90180	-178.2049588216819	-8.919931400039196
88.46506762504578	9	-167.67764321400907	-8.718054419165732	78.6592875585962	-32.775408591757206	-404.2087436225394	20.0	0.0	1020	100200	-168.92297516643143	-8.038206578933032
95.2900538444519	10	-159.434030993451	-8.072373361544372	69.65263324565761	-23.164376710075768	-366.9711717109966	20.0	0.0	1020	110220	-160.96000170956032	-8.646013664647217
102.14528679847717	11	-154.32812994956498	-7.629683207886692	63.01298641746275	-26.154894873277172	-384.9582438861898	20.0	0.0	1020	120240	-162.51774650865283	-8.52413851659149
2886.979185819626	12	-159.4442890213401	-7.9487736658394095	66.56928103124187	-26.163541118094336	-355.07173444858216	20.0	0.0	1020	130260	-161.8200828826161	-8.282594739445468
2898.1382427215576	13	-163.65340528107947	-8.155421010995479	66.89304027818945	-25.4531716269639	-388.4486144811352	20.0	0.0	1020	140280	-132.2786412083977	-6.416101696771413
2906.0789387226105	14	-154.56863258341625	-7.759374189530963	68.28273100946286	-24.963585191939462	-349.83056638780147	20.0	0.0	1020	150300	-127.90326610605295	-6.333417387084085
2913.5953698158264	15	-156.45448258687222	-7.768471929102149	72.14054713338645	-21.074775577057707	-412.9134990556831	20.0	0.0	1020	160320	-163.83542808407685	-8.096219467576788
2920.680898666382	16	-159.3005501342359	-7.811794143711318	72.36685283750394	-25.48127818480693	-410.45180886916717	20.0	0.0	1020	170340	-142.41123202833265	-7.018100219435098
2927.5932998657227	17	-148.01341113960657	-7.5953935645431585	73.6820479852836	-18.050281960763407	-456.13430611572795	20.0	0.0	1020	180360	-145.7593263120873	-7.546310749204171
2934.594979763031	18	-155.3694323079468	-7.639543676025601	76.07293544511161	-19.49527116672563	-420.3550492510999	20.0	0.0	1020	190380	-132.92724932546383	-6.7562622759692035
2941.4596059322357	19	-154.34336159980052	-7.653991190824987	72.96145489556726	-20.311919451051814	-516.4496788393776	20.0	0.0	1020	200400	-158.904289779408	-8.267140511458507
2948.3908247947693	20	-151.73919388663447	-7.417553124433323	71.84719083759657	-21.72701768719825	-373.67964547673415	20.0	0.0	1020	210420	-160.58791072961816	-7.759086796731959
2955.2887938022614	21	-158.2942842083908	-7.700195151561334	70.44152625256672	-27.88418054534035	-413.0728061649167	20.0	0.0	1020	220440	-164.19967346535626	-8.670185381879783
2962.1677796840668	22	-156.68670293232594	-7.6454558710196014	73.14146149786784	-24.594201382451374	-472.18327457172944	20.0	0.0	1020	230460	-187.2185949838528	-8.840078064249678
2969.0987389087677	23	-151.6244188950551	-7.205194781156203	74.1899220523342	-22.517886184482858	-365.85657707592213	20.0	0.0	1020	240480	-171.40878663985538	-8.197650857704945
2976.393521785736	24	-145.65571352359237	-7.067189201708475	76.47303641864622	-24.02651538667966	-438.4100713172057	20.0	0.0	1020	250500	-185.54822478146036	-9.215782822645231
2983.289248943329	25	-153.0502554135303	-7.627241728786964	78.33996235698417	-15.441043556247742	-421.2629853714005	20.0	0.0	1020	260520	-153.47673856479992	-7.784713236437197
2990.1473557949066	26	-158.37870314579376	-7.674415860755264	78.26295617876842	-12.77990943261047	-455.5577560655329	20.0	0.0	1020	270540	-191.3635907199347	-9.529804169052564
2996.9308557510376	27	-161.8628108521572	-7.865765643604933	87.99369853648076	-15.874226536041107	-524.179813052407	20.0	0.0	1020	280560	-159.60240180477288	-8.283509361362448
3003.7200849056244	28	-161.75871500048166	-8.005787700086598	82.02581881968372	-20.270554247923915	-503.7395253495898	20.0	0.0	1020	290580	-140.8990434741546	-6.653426416825894
3010.4508328437805	29	-158.444093320135	-7.725150529887211	88.02675168434942	-14.728036981273927	-573.5314511917865	20.0	0.0	1020	300600	-182.3909455647458	-8.566943098695177
3017.1720037460327	30	-155.64839458984662	-7.602492542226571	85.30280557248419	-18.349084216485352	-497.2412389287134	20.0	0.0	1020	310620	-151.97443730911613	-7.711382405262443
3024.1051647663116	31	-158.19736847009153	-7.627193223658087	86.80070988829644	-19.05465084260047	-581.1946178206441	20.0	0.0	1020	320640	-173.6014894622726	-8.957153819763402
3031.2126269340515	32	-164.65898380331188	-7.957564844476555	95.4254148273155	-19.50742391901513	-640.4945492079547	20.0	0.0	1020	330660	-156.92763570675223	-8.05903017805368
3039.0197508335114	33	-162.01808938786	-7.951708967345167	87.5600701876751	-13.519591745946633	-614.4900282753994	20.0	0.0	1020	340680	-152.71284254313042	-7.176874767034655
3048.4306938648224	34	-156.0210888735195	-7.419309672477966	91.46681387690353	-23.005311538200065	-616.0947191624751	20.0	0.0	1020	350700	-154.65866936185287	-7.520060633707494
3055.3325476646423	35	-170.49789382204406	-8.359716023823934	103.37139534982117	-12.932635360795118	-650.8509077858846	20.0	0.0	1020	360720	-195.56577286836182	-10.29499542544722
3062.460922718048	36	-174.09114318713327	-8.763671069180996	112.15136819680887	-18.8180233182597	-905.420137669456	20.0	0.0	1020	370740	-153.00420073020646	-7.6847538353970535
3069.709061861038	37	-176.62447955230346	-8.866921277715099	119.97483764989335	-17.742122411516096	-1055.7153049879657	20.0	0.0	1020	380760	-125.79577589758232	-6.023977189068996
3076.5787427425385	38	-169.78815585001695	-8.687499476371308	103.9654305715421	-12.37790999886035	-602.518295598668	20.0	0.0	1020	390780	-171.1712689414361	-8.070051342429307
3083.393980741501	39	-169.6141553374739	-8.280097372251104	122.09314586136966	-12.142270969589282	-935.7533814529328	20.0	0.0	1020	400800	-190.43307499735906	-9.003378772677818
3090.407671689987	40	-167.60759683825898	-8.077991772661282	131.0332649311036	-16.21205278590636	-1206.625613555761	20.0	0.0	1020	410820	-148.44588456278052	-6.567974526933331
3097.2802350521088	41	-169.91262903641842	-8.43329034793453	133.45578537621554	-10.556935931739613	-999.1402349545349	20.0	0.0	1020	420840	-217.65023496512848	-12.795157850778402
3104.063171863556	42	-174.42685308628336	-8.87938282123012	148.53863307604377	-19.065063279218673	-1605.9852301472456	20.0	0.0	1020	430860	-117.66752015646642	-5.502781731563911
3110.8297049999237	43	-160.04708076304178	-7.80400938361632	128.05082240306336	-7.274574488425501	-1081.0747762050805	19.96716417910448	0.6000965244999037	1020	440880	-161.6232956822602	-8.184266975691493
3117.696751832962	44	-179.8969760717107	-9.559437481432472	158.8944562779093	-10.573141668391804	-1829.2026597095112	20.0	0.0	1020	450900	-197.97730287766714	-10.120577498761492
3124.483253955841	45	-167.99350997857744	-8.686212939870328	140.6922058512388	-10.995847528379851	-1346.1506991958574	20.0	0.0	1020	460920	-175.89886352222146	-8.797817593835674
