Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
62.657963037490845	0	-164.18213325641617	-9.130493447645634	64.0330992570113	-4.5784938740223415	-357.12371647508013	19.949253731343283	0.9274219014998514	1020	10020	-168.58157718301	-9.21472351197009
128.32788586616516	1	-166.92668627736882	-9.158676196878787	62.933926902728324	-33.276339587420594	-318.0090165058525	20.0	0.0	1020	20040	-162.37123794601945	-8.952364964007337
187.25792002677917	2	-154.7868687109979	-8.234924002340737	61.53065443142626	-30.04693815860285	-353.47635950402974	20.0	0.0	1020	30060	-164.34940142812215	-8.767367204136642
245.8641700744629	3	-161.0892319599526	-8.437049139259742	60.40001934928938	-38.84772231105342	-339.2718649133693	20.0	0.0	1020	40080	-143.60404548030536	-7.290377353755048
299.7789490222931	4	-158.4559984556746	-8.21411629819147	57.10016867976218	-36.973115550655805	-332.87280031747326	20.0	0.0	1020	50100	-150.6432394168221	-7.191465803401144
356.38477301597595	5	-158.6891769061319	-8.058646544364207	56.26609719603025	-40.16109046202773	-357.7738126012496	20.0	0.0	1020	60120	-170.95026478032042	-8.96925956888424
413.8090908527374	6	-153.1479346036555	-7.834631841240221	57.807641296011575	-35.804984294679016	-306.26786449005215	20.0	0.0	1020	70140	-159.99437048441035	-7.877154784625507
468.9319100379944	7	-157.36553691637496	-8.00834416600805	59.72797562591588	-38.51118406414148	-305.26788560932704	20.0	0.0	1020	80160	-163.61594780119432	-8.022365740350594
523.2031009197235	8	-152.60732881623667	-7.819368995789219	63.48373409977257	-24.86570561892764	-323.65686449540334	20.0	0.0	1020	90180	-180.8554086637762	-8.573717777177855
576.6537160873413	9	-147.61758287793063	-7.250232563085513	56.93076056280814	-31.22907031623728	-336.34486134081544	20.0	0.0	1020	100200	-148.5253402186974	-7.4278669446153165
632.4756679534912	10	-143.51466928499943	-6.9875430004307635	58.90390923020301	-39.22769684765358	-305.11720795804706	20.0	0.0	1020	110220	-148.64972811819408	-6.866992152410381
687.7102909088135	11	-149.4680516983877	-6.966834717952771	57.109728533612476	-27.185288164065376	-298.2700254894355	20.0	0.0	1020	120240	-138.015172405557	-6.122461401185268
745.1439580917358	12	-144.84328774130685	-6.724259938413383	56.513109068467664	-27.2113073824654	-299.38913597026664	20.0	0.0	1020	130260	-132.23427691881253	-6.234811299761205
799.1212739944458	13	-145.05071933529345	-6.662512951261646	58.106297019530416	-36.874833058774016	-303.13495475816086	20.0	0.0	1020	140280	-132.77722376118706	-5.94323408458216
