Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
57.72978091239929	0	-167.8306310709775	-9.11191568275523	65.69425685185993	-40.8375255795162	-344.0575426192279	20.0	0.0	1020	10020	-155.36379237965252	-8.89235177900268
114.46259212493896	1	-172.98634954198437	-9.216919383744601	64.07199410982503	-27.147523657595155	-341.84268279398725	20.0	0.0	1020	20040	-155.01324944721534	-8.430747752594087
169.68302416801453	2	-170.16857300844123	-9.337661767666692	64.1188207116188	-32.70759456411578	-338.7177960006102	20.0	0.0	1020	30060	-170.64291568954468	-9.166963496760108
224.04336094856262	3	-168.21869604629183	-8.799775590025892	65.6059775742295	-34.31175103449521	-376.31690120552094	20.0	0.0	1020	40080	-192.47218104798282	-10.613631922783972
278.59997725486755	4	-162.34560713026337	-8.48760271692396	65.28967543254862	-28.089126011894766	-358.4876553903741	20.0	0.0	1020	50100	-154.56103530061765	-7.567855649560125
338.6777431964874	5	-166.21742858805618	-8.608800808090724	67.6177833493949	-34.50538549376251	-356.30416755889155	20.0	0.0	1020	60120	-160.03306569711785	-8.214106422776615
401.8087270259857	6	-161.0045342992815	-8.45982291947764	65.4033780525696	-35.95779229056478	-358.2110371866565	20.0	0.0	1020	70140	-167.29732172976398	-9.09120349821121
463.0334300994873	7	-164.51578334666422	-8.372681439598608	64.78811632518787	-20.32026369566095	-346.2563560174359	20.0	0.0	1020	80160	-158.65683859448407	-7.773352642776249
521.7456250190735	8	-157.77371390433944	-7.853641485459018	63.37629517898946	-31.186158350987824	-351.67212667604696	20.0	0.0	1020	90180	-161.98775297118559	-8.111672404678902
580.9912910461426	9	-156.05333152534126	-7.556527319062815	62.6240396070736	-30.01184810795085	-359.37336140248163	20.0	0.0	1020	100200	-170.79467698847947	-8.7457617804261
643.5765533447266	10	-157.06609972151392	-7.729867113283658	64.53761822194782	-26.09084171890467	-348.65353290444494	20.0	0.0	1020	110220	-153.8219376868896	-7.085029474640436
701.6302220821381	11	-152.63825121212065	-7.451547055426085	64.70471942200342	-31.02369728858406	-359.99563480113756	20.0	0.0	1020	120240	-163.10071805716686	-7.726114479513688
759.4685690402985	12	-149.97742392823199	-7.174478150811226	60.78868321295165	-29.114497275708	-371.28144051531274	20.0	0.0	1020	130260	-143.56045502346007	-6.526374063148701
818.7162222862244	13	-146.2301942476942	-6.9133644803966465	57.83205338263379	-21.900769221375413	-321.5638069763122	20.0	0.0	1020	140280	-142.18499410303053	-6.943828203688536
877.8213770389557	14	-146.1110415546463	-6.768917064676566	62.360135590617624	-25.65831873724697	-348.8572873939632	20.0	0.0	1020	150300	-150.69996288172138	-7.272811687909732
937.7954030036926	15	-146.89474061448195	-6.685784000348604	62.33648016917177	-32.75834180931317	-350.8581305290841	20.0	0.0	1020	160320	-160.3043382182297	-6.705992858069879
997.1446890830994	16	-146.97691484528633	-6.676427396261726	66.54626545316297	-25.536393462736307	-415.5947629699879	20.0	0.0	1020	170340	-149.44646385668221	-6.857295671498497
1056.6054491996765	17	-148.96629526386243	-6.687117505791977	64.97149346773749	-19.11321876059398	-333.8524144314395	20.0	0.0	1020	180360	-156.66156444248543	-7.131576700237731
1118.5238132476807	18	-147.988808228838	-6.583876105823246	60.284512105649846	-22.044307849683268	-379.38198587418816	20.0	0.0	1020	190380	-148.1751007170609	-6.397074504550255
1183.3922228813171	19	-142.48774549673698	-6.205593466232639	64.34322871208707	-29.63282909371494	-388.7972751097574	20.0	0.0	1020	200400	-126.4177121894994	-5.188509355377156
1247.9966871738434	20	-143.94667752623369	-6.122212577801568	63.920085689499736	-25.303306501813097	-345.48221771289855	20.0	0.0	1020	210420	-141.12514136637282	-5.84839165821668
1312.5416131019592	21	-138.7911410758048	-5.787663415835999	62.56458686306699	-22.4938160943551	-337.94119830901815	20.0	0.0	1020	220440	-130.90893490804103	-5.362043165806931
1375.6554012298584	22	-138.04964869599294	-5.73393312311074	61.46036328273608	-25.229656531165933	-341.0451192659127	20.0	0.0	1020	230460	-143.6098191886924	-5.926737384030076
1442.3728260993958	23	-140.60855700430048	-5.8071413312130495	66.55932213016186	-23.261997388970304	-480.7092832153969	20.0	0.0	1020	240480	-129.45066179927167	-5.676095628537527
1499.1573250293732	24	-131.16371736737688	-5.337522771939964	60.043828033772435	-21.486900815715877	-417.9621543228198	20.0	0.0	1020	250500	-126.32709892991112	-5.320548246901325
1559.202718257904	25	-135.00597264271454	-5.422606258749224	67.7001263134514	-22.0354509150859	-493.342073076863	20.0	0.0	1020	260520	-137.96719468984892	-5.988117368921117
1621.3495092391968	26	-130.38610304429966	-5.276708475967539	62.722087960275374	-17.771995928393217	-389.57755201869475	20.0	0.0	1020	270540	-134.3087729287856	-5.373107497342087
