Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
38.109148025512695	0	-170.57915446449	-9.417173809815539	69.05802287152633	-34.74913335897979	-369.7939701701034	20.0	0.0	1008	10017	-165.13786505435044	-9.00609277776131
74.47721290588379	1	-169.09093841487038	-9.127307784156828	70.6657928594778	-27.167760279347117	-457.7552207044812	20.0	0.0	1008	20034	-161.6283161130168	-8.559466929988153
110.74251008033752	2	-161.0676600984404	-8.564009672316958	65.99339211621928	-24.90753283264667	-376.82083915422584	20.0	0.0	1008	30051	-160.50883189739633	-8.340306136370314
148.934250831604	3	-165.31584381329466	-8.569942267555119	66.99233744298994	-26.268555205487054	-381.8089560871021	20.0	0.0	1008	40068	-160.29882287786646	-8.073186210801875
183.65772676467896	4	-166.41481353851864	-8.701273196898866	67.27157824152516	-28.152376615933118	-373.5179857963645	20.0	0.0	1008	50085	-147.49506117687807	-7.535892835901522
220.46586680412292	5	-164.4995369385498	-8.238403621897431	65.08433417708609	-25.89394365575675	-372.1110792475862	20.0	0.0	1008	60102	-173.9167953594791	-8.97009481887419
261.22154903411865	6	-153.4768507924003	-7.76416375059114	68.66813009083056	-25.419420234238547	-406.51480029075884	20.0	0.0	1008	70119	-152.57569637417294	-7.884201415877503
297.0083167552948	7	-158.26519590201747	-7.873695571316212	68.13167659169521	-30.428188918807127	-363.85891071949686	20.0	0.0	1008	80136	-154.32712889229109	-7.257821402224214
334.0215289592743	8	-149.9527869893441	-7.513260070246136	66.78401021908186	-7.812345179348251	-377.88397354685065	19.979035639413	0.45738834862204264	1008	90153	-158.63403620248155	-7.698944144603195
373.7775321006775	9	-157.6954389935584	-7.66888796493742	68.71427406491708	-29.133448293828394	-390.29444298399926	20.0	0.0	1008	100170	-134.58308728923046	-6.535540430333292
418.0758719444275	10	-157.0619713685215	-7.492489676986182	67.96446905404423	-23.457633575014672	-341.59511649702097	20.0	0.0	1008	110187	-151.7572643416824	-7.413668681320549
465.7854781150818	11	-154.8104482425511	-7.371646093028591	68.02468485650058	-20.292951107395634	-345.94937120606477	20.0	0.0	1008	120204	-142.09523891527172	-6.036393816586682
515.1834630966187	12	-150.44419773165896	-6.800658905968332	64.70403552115239	-20.138840421481376	-324.6904733915568	20.0	0.0	1008	130221	-137.9514764525185	-6.22580393890686
565.59459400177	13	-145.76797235178972	-6.53253570544092	63.26772082315541	-23.71873980398544	-318.93111246005316	20.0	0.0	1008	140238	-147.4197347393688	-6.123634629555028
612.4148550033569	14	-146.48290965198055	-6.500627582462957	65.689239937315	-26.172663608891515	-351.8162991664424	20.0	0.0	1008	150255	-150.73373505861295	-7.046277190416272
663.8138749599457	15	-146.04442213132748	-6.607610001337684	67.68605030022496	-14.930716346804882	-437.19524527259296	20.0	0.0	1008	160272	-138.33418014497758	-5.934512467532097
714.6974251270294	16	-142.3375114324082	-6.178628772660014	64.87277961390464	-27.47576035675293	-432.2968976609422	20.0	0.0	1008	170289	-139.68757056186436	-5.9607410285189175
758.7130978107452	17	-135.85741120337025	-5.707646062413552	63.17327008897878	-19.58673255038734	-338.56973205068243	20.0	0.0	1008	180306	-131.4710807109419	-5.321236111749845
802.9685170650482	18	-135.8357707738244	-5.673439795470808	63.15234428417244	-25.569050627447844	-379.8467214677161	20.0	0.0	1008	190323	-141.0609857903069	-5.707872253877348
849.1311547756195	19	-130.52914292674612	-5.45225765349154	60.933816228109976	-20.56351362967991	-381.6533996685207	20.0	0.0	1008	200340	-136.46129912945204	-5.570290540678694
897.4357779026031	20	-132.79445722249565	-5.3995636756074985	65.8632898340332	-17.88008682400204	-354.3151148118893	20.0	0.0	1008	210357	-124.39469719534115	-4.733484702957949
947.7839007377625	21	-128.77903659429182	-5.250583404142554	65.12084991353564	-16.685120496431015	-407.17314492121227	20.0	0.0	1008	220374	-122.73669950686251	-4.7967482200433835
986.4269380569458	22	-125.12683795134159	-4.947029794914796	58.820928448799314	-17.100921494910583	-373.25193494220053	20.0	0.0	1008	230391	-127.8408904132577	-4.665794531462377
1028.5399389266968	23	-130.02227253957852	-5.23381064316535	65.11643830601801	-21.758004024299474	-373.22755397457865	20.0	0.0	1008	240408	-130.38663511632623	-5.165818805120426
1076.6895279884338	24	-122.69234515860478	-4.77710129468761	59.73439860044391	-18.198404899432475	-362.73951414884147	20.0	0.0	1008	250425	-133.1275502919231	-5.040445463207222
1125.378669977188	25	-121.40060037779564	-4.586867628845895	56.34933913468521	-23.821258099280485	-387.37662881353566	20.0	0.0	1008	260442	-122.9205912429231	-4.712767677513457
1171.2970831394196	26	-127.10488387938065	-5.009864204729999	64.33668733017855	-24.422224243062736	-467.2268574165235	20.0	0.0	1008	270459	-111.65499684298685	-4.498239700035671
1214.9051899909973	27	-120.14736174535528	-4.515447216695952	59.081619533581616	-26.78710526571161	-379.23132637484133	20.0	0.0	1008	280476	-125.19787166670937	-4.598446388833231
1257.9369950294495	28	-120.92843226036689	-4.683560868283881	65.30162852989453	-19.66912549280624	-409.6624099262187	20.0	0.0	1008	290493	-119.34742386111365	-4.300664256356734
1300.612625837326	29	-111.8528212474754	-3.9861357548388163	54.24221789282158	-22.499272400359555	-320.59278738818097	20.0	0.0	1008	300510	-125.74216928858819	-4.9885728602564425
1343.2314100265503	30	-121.84247694660229	-4.6154215289755385	63.48069736042528	-19.837780223049158	-477.59126084839045	20.0	0.0	1008	310527	-117.6368518959709	-4.380693548039606
1386.14706492424	31	-116.21973244000748	-4.269744748403509	60.225681336236725	-25.774789174325605	-431.26766586144265	20.0	0.0	1008	320544	-99.81490053723915	-3.334058588425434
1429.061800956726	32	-119.63185785059139	-4.39240072964433	60.29845939707548	-23.569564507840962	-436.0565017326761	20.0	0.0	1008	330561	-115.13052218797345	-4.173640533153409
1474.1269280910492	33	-112.44263208215366	-4.228376161233937	55.31395415318185	-20.9220048674932	-334.7858454967936	20.0	0.0	1008	340578	-131.67105483657303	-4.128773082922497
